id,position,customer,status,product_name,photo_url,is_deleted,previous_position,navodka_url
820,49D m.,Škoda,null,Nosič le/pr,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/820_00820_Nosic_L_R_00820.pdf"", ""title"": ""Návodka""}]"
821,47C z.,Škoda,null,Ovládací páka le/pr,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/821_00821_Ovladaci_paka_L_R_00821.pdf"", ""title"": ""Návodka""}]"
822,51A b.,Škoda,null,Clamp 1,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/822_00822_Clamp_1_00822.pdf"", ""title"": ""Návodka""}]"
960,40C z.,Novares,null,Forma W23818,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/960_00960_W23818_Bedienknopf_I-TA_vorn.pdf"", ""title"": ""Návodka""}]"
458,40B b.,Novares,null,RAHMEN CHROM,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/458_Rahmen_natur_chrom_W20461_00458.pdf"", ""title"": ""Návodka""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/458_Rahmen_schwarz_chrom_W20461_00458.pdf"", ""title"": ""Navodka_alt""}]"
742,47C m.,Škoda,null,Krytka,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/742_Abdeckkappe_00742.pdf"", ""title"": ""Návodka""}]"
836,49E c.,WEIDPLAS,null,Zusatzteil RL,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/836_Zusatzteil_RL_00836.pdf"", ""title"": ""Návodka""}]"
823,50C c.,Škoda,null,Clamp 2,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/823_00823_Clamp_2_00823.pdf"", ""title"": ""Návodka""}]"
824,50B c.,Škoda,null,Cover VD,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/824_00824_ASSY_Cover_00824.pdf"", ""title"": ""Návodka""}]"
83,45B c.,Ideal,null,Unterlage RDH Škoda B6,null,false,null,null
747,52A c.,Škoda,null,Kryt vnitřní,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/747_Kryt_vnitrni_elektro_L_R_00747.pdf"", ""title"": ""Návodka""}]"
825,50C c.,Škoda,,Cover PSD,null,false,,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/825_00825_ASSY_Cover_00825.pdf"", ""title"": ""Návodka""}]"
826,42C z.,Witte,null,Magnetaufnahme,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/826_00826_Magnetaufnahme.pdf"", ""title"": ""Návodka""}]"
834,44C c.,Witte,null,Key GOB,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/834_00834_Key_GOB.pdf"", ""title"": ""Návodka""}]"
839,45D č.,Grammer,null,ARRETIERHEBEL F.DV,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/839_00839_Arretierhebel_F.DV.pdf"", ""title"": ""Návodka""}]"
840,47E z.,Grammer,,Lagerbock,null,false,,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/840_00840_Lagerbock.pdf"", ""title"": ""Návodka""}]"
845,41A z.,Witte,null,Lever,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/845_00845_Lever.pdf"", ""title"": ""Návodka""}]"
828,44B z.,Others,null,Service Lid,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/828_Service_Lid_00828.pdf"", ""title"": ""Návodka""}]"
417,41B b.,Witte,null,POM Buchse,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/417_POM-Buchse.pdf"", ""title"": ""Návodka 1""}]"
419,41A m.,Witte,null,Puffer hinten,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/419_Puffer_hinten.pdf"", ""title"": ""Návodka 1""}]"
829,43C h.,Witte,null,Gehause L+R,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/829_Gehause_L_R_00829.pdf"", ""title"": ""Návodka""}]"
830,41C z.,Witte,null,Abdeckung L+R,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/830_Abdeckung_L_R_00830.pdf"", ""title"": ""Návodka""}]"
831,41C z.,Witte,null,Dummy Schliesszylinder GOB L+R,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/831_Dummy_Schliesszylinder_GOB_L_R_00831.pdf"", ""title"": ""Návodka""}]"
832,51D č.,Donaldson,,Handle + Estoutchen,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/832_00832_Estoutchen.pdf"", ""title"": ""Návodka""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/832_00832_Handle.pdf"", ""title"": ""Navodka_alt""}]"
833,44A h.,Witte,null,Roller,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/833_00833_Rolle.pdf"", ""title"": ""Návodka""}]"
835,49D c.,WEIDPLAS,null,Zusatzteil LL,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/835_Zusatzteil_LL_00835.pdf"", ""title"": ""Návodka""}]"
837,37B m.,Grammer,null,LV-Lever end cap,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/837_00837_LV-Lever_end_cap.pdf"", ""title"": ""Návodka""}]"
846,43D b.,Witte,null,Cylinder,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/846_00846_Cylinder.pdf"", ""title"": ""Návodka""}]"
